   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -30.000  -3.1550   0.00000  -0.00190  -0.0482   0.0000   0.0000
 -29.000  -3.0467   0.00000  -0.00187  -0.0480   0.0000   0.0000
 -28.000  -2.9375   0.00000  -0.00183  -0.0479   0.0000   0.0000
 -27.000  -2.8274   0.00000  -0.00179  -0.0479   0.0000   0.0000
 -26.000  -2.7164   0.00000  -0.00176  -0.0479   0.0000   0.0000
 -25.000  -2.6046   0.00000  -0.00172  -0.0480   0.0000   0.0000
 -24.000  -2.4920   0.00000  -0.00168  -0.0482   0.0000   0.0000
 -23.000  -2.3787   0.00000  -0.00164  -0.0484   0.0000   0.0000
 -22.000  -2.2646   0.00000  -0.00160  -0.0487   0.0000   0.0000
 -21.000  -2.1499   0.00000  -0.00156  -0.0491   0.0000   0.0000
 -20.000  -2.0345   0.00000  -0.00152  -0.0495   0.0000   0.0000
 -19.000  -1.9185   0.00000  -0.00149  -0.0499   0.0000   0.0000
 -18.000  -1.8019   0.00000  -0.00145  -0.0505   0.0000   0.0000
 -17.000  -1.6847   0.00000  -0.00141  -0.0511   0.0000   0.0000
 -16.000  -1.5671   0.00000  -0.00138  -0.0518   0.0000   0.0000
 -15.000  -1.4489   0.00000  -0.00135  -0.0525   0.0000   0.0000
 -14.000  -1.3304   0.00000  -0.00131  -0.0533   0.0000   0.0000
 -13.000  -1.2114   0.00000  -0.00128  -0.0541   0.0000   0.0000
 -12.000  -1.0920   0.00000  -0.00125  -0.0550   0.0000   0.0000
 -11.000  -0.9724   0.00000  -0.00123  -0.0559   0.0000   0.0000
 -10.000  -0.8524   0.00000  -0.00120  -0.0569   0.0000   0.0000
  -9.000  -0.7322   0.00000  -0.00118  -0.0580   0.0000   0.0000
  -8.000  -0.6117   0.00000  -0.00116  -0.0591   0.0000   0.0000
  -7.000  -0.4911   0.00000  -0.00114  -0.0603   0.0000   0.0000
  -6.000  -0.3703   0.00000  -0.00112  -0.0615   0.0000   0.0000
  -5.000  -0.2494   0.00000  -0.00111  -0.0627   0.0000   0.0000
  -4.000  -0.1285   0.00000  -0.00109  -0.0640   0.0000   0.0000
  -3.000  -0.0075   0.00000  -0.00108  -0.0654   0.0000   0.0000
  -2.000   0.1135   0.00000  -0.00108  -0.0668   0.0000   0.0000
  -1.000   0.2345   0.00000  -0.00107  -0.0682   0.0000   0.0000
  -0.000   0.3554   0.00000  -0.00107  -0.0697   0.0000   0.0000
   1.000   0.4762   0.00000  -0.00107  -0.0712   0.0000   0.0000
   2.000   0.5968   0.00000  -0.00108  -0.0727   0.0000   0.0000
   3.000   0.7173   0.00000  -0.00109  -0.0743   0.0000   0.0000
   4.000   0.8375   0.00000  -0.00109  -0.0759   0.0000   0.0000
   5.000   0.9575   0.00000  -0.00111  -0.0776   0.0000   0.0000
   6.000   1.0772   0.00000  -0.00112  -0.0792   0.0000   0.0000
   7.000   1.1965   0.00000  -0.00114  -0.0809   0.0000   0.0000
   8.000   1.3155   0.00000  -0.00116  -0.0827   0.0000   0.0000
   9.000   1.4341   0.00000  -0.00119  -0.0844   0.0000   0.0000
  10.000   1.5523   0.00000  -0.00121  -0.0862   0.0000   0.0000
  11.000   1.6700   0.00000  -0.00124  -0.0879   0.0000   0.0000
  12.000   1.7872   0.00000  -0.00127  -0.0897   0.0000   0.0000
  13.000   1.9038   0.00000  -0.00130  -0.0915   0.0000   0.0000
  14.000   2.0199   0.00000  -0.00134  -0.0934   0.0000   0.0000
  15.000   2.1353   0.00000  -0.00138  -0.0952   0.0000   0.0000
  16.000   2.2502   0.00000  -0.00142  -0.0970   0.0000   0.0000
  17.000   2.3643   0.00000  -0.00146  -0.0989   0.0000   0.0000
  18.000   2.4777   0.00000  -0.00151  -0.1007   0.0000   0.0000
  19.000   2.5903   0.00000  -0.00155  -0.1026   0.0000   0.0000
  20.000   2.7022   0.00000  -0.00160  -0.1044   0.0000   0.0000
  21.000   2.8132   0.00000  -0.00165  -0.1062   0.0000   0.0000
  22.000   2.9234   0.00000  -0.00170  -0.1081   0.0000   0.0000
  23.000   3.0327   0.00000  -0.00175  -0.1099   0.0000   0.0000
  24.000   3.1411   0.00000  -0.00180  -0.1117   0.0000   0.0000
  25.000   3.2485   0.00000  -0.00186  -0.1135   0.0000   0.0000
  26.000   3.3549   0.00000  -0.00191  -0.1153   0.0000   0.0000
  27.000   3.4604   0.00000  -0.00197  -0.1170   0.0000   0.0000
  28.000   3.5647   0.00000  -0.00202  -0.1188   0.0000   0.0000
  29.000   3.6680   0.00000  -0.00208  -0.1205   0.0000   0.0000
  30.000   3.7702   0.00000  -0.00213  -0.1222   0.0000   0.0000
